jobid,walltime,cputime,cpus,gpus,hyperthreading,maxrss,lic
19873026,00:29:13,03:52:15,16,0,true,1736648000,16
19889747,00:34:48,03:13:15,8,0,true,1572428000,12
19777633,00:40:38,03:04:48,6,0,true,1552480000,10
19777634,00:55:00,03:02:31,4,0,true,1509828000,8
19777635,01:42:04,03:10:03,2,0,true,1531332000,6
19830317,00:33:17,01:45:39,8,0,false,1521716000,8
19861493,00:45:52,01:56:06,6,0,false,1520148000,7
19862923,01:01:35,01:53:37,4,0,false,1451756000,6
19862924,01:13:26,01:46:53,2,0,false,1442196000,5
19864832,00:44:57,01:53:45,6,1,false,1490256000,8
19864874,00:41:54,03:07:13,6,1,true,1548700000,11